,City,Country,Lat,Lng,Max Temp,Humidity(%),Cloudiness(%),Wind Speed (mph),Date
0,fairbanks,US,64.84,-147.72,3.99,75,1,1.12,1605844140
1,majene,ID,-3.54,118.97,85.46,69,95,4.7,1605844174
2,kangaba,ML,11.93,-8.42,70.38,34,82,3.02,1605844290
3,aksarka,RU,66.56,67.8,26.19,97,100,18.41,1605844291
4,tasiilaq,GL,65.61,-37.64,35.6,40,100,18.34,1605844139
5,sao filipe,CV,14.9,-24.5,79.29,65,75,7.27,1605844223
6,port blair,IN,11.67,92.75,83.73,71,87,13.06,1605844291
7,arraial do cabo,BR,-22.97,-42.03,72.12,83,100,19.17,1605844203
8,saldanha,ZA,-33.01,17.94,62.6,59,0,4.7,1605844147
9,bluff,NZ,-46.6,168.33,60.01,86,100,11.99,1605844161
10,busselton,AU,-33.65,115.33,66.99,76,76,8.01,1605844234
11,tuktoyaktuk,CA,69.45,-133.04,-0.4,77,5,6.93,1605844292
12,amderma,,,,,,,,
13,kodiak,US,57.79,-152.41,37.4,86,90,4.7,1605844138
14,vaini,TO,-21.2,-175.2,78.8,83,75,9.17,1605844157
15,port alfred,ZA,-33.59,26.89,62.24,69,18,3.98,1605844175
16,jabiru,,,,,,,,
17,donskoye,RU,45.46,41.97,30.2,100,90,20.13,1605844293
18,temaraia,,,,,,,,
19,port lincoln,AU,-34.73,135.87,67.03,61,94,10.69,1605844190
20,andevoranto,,,,,,,,
21,nguiu,,,,,,,,
22,bara,NG,10.37,10.73,68.38,26,75,6.96,1605844294
23,punta arenas,CL,-53.15,-70.92,51.8,71,40,14.99,1605843865
24,ponta do sol,PT,32.67,-17.1,68,72,40,14.99,1605844157
25,mayumba,GA,-3.43,10.66,76.73,90,100,5.57,1605844228
26,voznesenskoye,RU,54.89,42.76,25.65,83,4,16.98,1605844294
27,yellowknife,CA,62.46,-114.35,1.4,84,75,4.7,1605844161
28,hobart,AU,-42.88,147.33,71.01,48,20,21.92,1605844137
